"id","prob_A","prob_B","prob_C","prob_D","prob_E"
1,0.146209386281588,0.465703971119134,0.28158844765343,0.0956678700361011,0.0108303249097473
2,0.0158102766798419,0.130434782608696,0.33596837944664,0.411067193675889,0.106719367588933
3,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
4,0.729411764705882,0.247058823529412,0.0117647058823529,0.0117647058823529,0
5,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
6,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
7,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
8,0.610328638497653,0.356807511737089,0.0234741784037559,0.00469483568075117,0.00469483568075117
9,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
10,0.0358974358974359,0.266666666666667,0.415384615384615,0.266666666666667,0.0153846153846154
11,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
12,0.00872093023255814,0.00290697674418605,0.00872093023255814,0.0784883720930232,0.901162790697674
13,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
14,0.00872093023255814,0.00290697674418605,0.00872093023255814,0.0784883720930232,0.901162790697674
15,0,0.0588235294117647,0,0.588235294117647,0.352941176470588
16,0.034,0.058,0.16,0.354,0.394
17,0.034,0.058,0.16,0.354,0.394
18,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
19,0.034,0.058,0.16,0.354,0.394
20,0.0170212765957447,0.0638297872340425,0.259574468085106,0.608510638297872,0.051063829787234
21,0.034,0.058,0.16,0.354,0.394
22,0.111821086261981,0.319488817891374,0.402555910543131,0.159744408945687,0.00638977635782748
23,0,0.0132013201320132,0.125412541254125,0.597359735973597,0.264026402640264
24,0.034,0.058,0.16,0.354,0.394
25,0.610328638497653,0.356807511737089,0.0234741784037559,0.00469483568075117,0.00469483568075117
26,0.111821086261981,0.319488817891374,0.402555910543131,0.159744408945687,0.00638977635782748
27,0.034,0.058,0.16,0.354,0.394
28,0.034,0.058,0.16,0.354,0.394
29,0,0.0132013201320132,0.125412541254125,0.597359735973597,0.264026402640264
30,0.0411764705882353,0.102941176470588,0.211764705882353,0.329411764705882,0.314705882352941
31,0.950413223140496,0.0495867768595041,0,0,0
32,0.034,0.058,0.16,0.354,0.394
33,0.034,0.058,0.16,0.354,0.394
34,0.111821086261981,0.319488817891374,0.402555910543131,0.159744408945687,0.00638977635782748
35,0.314606741573034,0.606741573033708,0.0674157303370787,0.0112359550561798,0
36,0.950413223140496,0.0495867768595041,0,0,0
37,0.034,0.058,0.16,0.354,0.394
38,0.0170940170940171,0.0170940170940171,0.0256410256410256,0.0598290598290598,0.88034188034188
39,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
40,0.034,0.058,0.16,0.354,0.394
41,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
42,0.146209386281588,0.465703971119134,0.28158844765343,0.0956678700361011,0.0108303249097473
43,0,0.0132013201320132,0.125412541254125,0.597359735973597,0.264026402640264
44,0.0738461538461539,0.230769230769231,0.532307692307692,0.163076923076923,0
45,0.146209386281588,0.465703971119134,0.28158844765343,0.0956678700361011,0.0108303249097473
46,0.00872093023255814,0.00290697674418605,0.00872093023255814,0.0784883720930232,0.901162790697674
47,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
48,0.610328638497653,0.356807511737089,0.0234741784037559,0.00469483568075117,0.00469483568075117
49,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
50,0.610328638497653,0.356807511737089,0.0234741784037559,0.00469483568075117,0.00469483568075117
51,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
52,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
53,0.0158102766798419,0.130434782608696,0.33596837944664,0.411067193675889,0.106719367588933
54,0.034,0.058,0.16,0.354,0.394
55,0.0738461538461539,0.230769230769231,0.532307692307692,0.163076923076923,0
56,0.950413223140496,0.0495867768595041,0,0,0
57,0.0358974358974359,0.266666666666667,0.415384615384615,0.266666666666667,0.0153846153846154
58,0.162754303599374,0.569640062597809,0.219092331768388,0.0485133020344288,0
59,0.610328638497653,0.356807511737089,0.0234741784037559,0.00469483568075117,0.00469483568075117
60,0.146209386281588,0.465703971119134,0.28158844765343,0.0956678700361011,0.0108303249097473
61,0.0411764705882353,0.102941176470588,0.211764705882353,0.329411764705882,0.314705882352941
62,0.034,0.058,0.16,0.354,0.394
63,0.034,0.058,0.16,0.354,0.394
64,0.034,0.058,0.16,0.354,0.394
65,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
66,0.0158102766798419,0.130434782608696,0.33596837944664,0.411067193675889,0.106719367588933
67,0.0411764705882353,0.102941176470588,0.211764705882353,0.329411764705882,0.314705882352941
68,0.0358974358974359,0.266666666666667,0.415384615384615,0.266666666666667,0.0153846153846154
69,0.034,0.058,0.16,0.354,0.394
70,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
71,0.0158102766798419,0.130434782608696,0.33596837944664,0.411067193675889,0.106719367588933
72,0,0,0,0.0869565217391304,0.91304347826087
73,0,0.152542372881356,0.466101694915254,0.338983050847458,0.0423728813559322
74,0.00872093023255814,0.00290697674418605,0.00872093023255814,0.0784883720930232,0.901162790697674
75,0.0411764705882353,0.102941176470588,0.211764705882353,0.329411764705882,0.314705882352941
76,0,0.0132013201320132,0.125412541254125,0.597359735973597,0.264026402640264
77,0.0151515151515152,0.0151515151515152,0.227272727272727,0.545454545454546,0.196969696969697
78,0.034,0.058,0.16,0.354,0.394
79,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
80,0.034,0.058,0.16,0.354,0.394
81,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
82,0.108225108225108,0.298701298701299,0.329004329004329,0.19047619047619,0.0735930735930736
83,0.729411764705882,0.247058823529412,0.0117647058823529,0.0117647058823529,0
84,0.0411764705882353,0.102941176470588,0.211764705882353,0.329411764705882,0.314705882352941
85,0.0738461538461539,0.230769230769231,0.532307692307692,0.163076923076923,0
86,0.034,0.058,0.16,0.354,0.394
87,0.111821086261981,0.319488817891374,0.402555910543131,0.159744408945687,0.00638977635782748
88,0.034,0.058,0.16,0.354,0.394
89,0.729411764705882,0.247058823529412,0.0117647058823529,0.0117647058823529,0
90,0,0.152542372881356,0.466101694915254,0.338983050847458,0.0423728813559322
91,0.0170940170940171,0.0170940170940171,0.0256410256410256,0.0598290598290598,0.88034188034188
92,0,0.0132013201320132,0.125412541254125,0.597359735973597,0.264026402640264
93,0,0.152542372881356,0.466101694915254,0.338983050847458,0.0423728813559322
94,0,0,0,0.0869565217391304,0.91304347826087
95,0.034,0.058,0.16,0.354,0.394
96,0.0738461538461539,0.230769230769231,0.532307692307692,0.163076923076923,0
97,0.146209386281588,0.465703971119134,0.28158844765343,0.0956678700361011,0.0108303249097473
98,0.111821086261981,0.319488817891374,0.402555910543131,0.159744408945687,0.00638977635782748
